,0,1,2
None,-0.04624400975208915,-0.04625153612375681,-0.0490099501
"[103.51405143737793, 0.125, False]",0.0,0.0,-0.004395016431808472
"[93.95016431808472, -0.0625, False]",0.0,0.0,-0.002813847064971924
"[78.13847064971924, 0.03125, False]",-0.001030278205871582,0.0,0.0
"[60.30278205871582, -0.0625, False]",0.0,0.00021846532821655275,0.0
"[47.81534671783447, 0.125, False]",0.0,0.0,-0.011615976095199584
"[166.15976095199585, 0.0625, False]",0.0,-0.010334112644195557,0.0
"[153.34112644195557, 0.15625, False]",0.01,0.0,0.0
terminal,0.0,0.0,0.0
"[20.62021493911743, 0.21875, False]",0.0,0.0,-0.01
"[16.617202758789062, 0.09375, False]",-0.004989948272705078,0.0,0.0
"[99.89948272705078, 0.03125, False]",0.0,0.0,-0.01
"[17.47995615005493, -0.125, False]",-0.004832935333251953,0.0,0.0
"[98.32935333251953, 0.15625, False]",-0.003305739164352417,0.0,0.0
"[83.05739164352417, 0.03125, False]",0.0,-0.0019461870193481447,0.0
"[69.46187019348145, 0.03125, False]",0.0,-0.01,0.0
"[120.62191963195801, -0.0625, False]",0.0,0.0,-0.00483457088470459
"[98.3457088470459, 0.125, False]",0.0,-0.0015405702590942383,0.0
"[65.40570259094238, 0.28125, False]",0.0,-0.0017413341999053956,0.0
"[67.41334199905396, 0.03125, False]",-0.01,0.0,0.0
"[76.1144757270813, 0.0, False]",0.0,-0.004053595066070557,0.0
"[90.53595066070557, 0.0625, False]",0.0,-0.0015278947353363037,0.0
"[65.27894735336304, 0.09375, False]",0.0,0.0,-0.0013888728618621827
"[63.888728618621826, 0.0, False]",0.0,-0.01,0.0
"[75.6646990776062, -0.0625, False]",-0.004594553709030152,0.0,0.0
"[95.94553709030151, 0.03125, False]",-0.0032726192474365236,0.0,0.0
"[82.72619247436523, -0.03125, False]",0.0,-0.0014714682102203369,0.0
"[64.71468210220337, 0.1875, False]",0.0,0.0,5.434751510620118e-06
"[49.9456524848938, 0.0625, False]",0.0,0.00035380721092224124,0.0
"[46.46192789077759, 0.0625, False]",0.00048219799995422366,0.0,0.0
"[45.178020000457764, 0.0, False]",-0.160168616771698,0.0,0.0
"[1651.68616771698, 0.0, False]",0.0,0.0,-0.012051441669464112
"[170.5144166946411, -0.21875, False]",0.0,0.0,0.01
"[16.191959381103516, -0.125, False]",0.0,0.0,-0.005792186260223388
"[107.92186260223389, -0.03125, False]",0.0,-0.007062191963195801,0.0
"[120.62191963195801, -0.09375, False]",0.0,-0.04403546810150147,0.0
"[490.35468101501465, 0.0625, False]",0.0,-0.056683187484741215,0.0
"[616.8318748474121, 0.09375, False]",0.0,0.0,-0.004532811641693116
"[95.32811641693115, 0.125, False]",0.0,0.0,-0.01
"[111.77767515182495, 0.0, False]",-0.0037342536449432376,0.0,0.0
"[87.34253644943237, -0.1875, False]",0.0,0.0,-0.0025415277481079103
"[75.4152774810791, -0.09375, False]",-0.0008802163600921631,0.0,0.0
"[58.80216360092163, -0.03125, False]",0.0,-0.01,0.0
"[122.64182567596436, 0.0625, False]",0.0,-0.0029561400413513185,0.0
"[79.56140041351318, 0.125, False]",0.0,-0.0003936398029327393,0.0
"[53.93639802932739, 0.0625, False]",0.0,0.0,-0.01
"[118.20539236068726, -0.09375, False]",0.0,0.0,-0.00286046028137207
"[78.6046028137207, 0.0625, False]",0.0,0.0,-0.06277766108512879
"[677.7766108512878, -0.03125, False]",0.0,0.0,-0.05760604739189148
"[626.0604739189148, 0.09375, False]",0.0,0.0,-0.09391733407974244
"[989.1733407974243, 0.0, False]",0.0,0.0,-0.01196761965751648
"[169.6761965751648, 0.09375, False]",-0.014712892770767212,0.0,0.0
"[197.12892770767212, -0.09375, False]",0.0,0.0,0.01
"[69.97298002243042, 0.0, False]",0.0,0.0,-0.00015771150588989258
"[51.577115058898926, -0.21875, False]",0.0,0.0,-0.017528085708618163
"[225.28085708618164, -0.21875, False]",0.0,0.0,-0.013974032402038575
"[189.74032402038574, -0.0625, False]",0.0,-0.01287984848022461,0.0
"[178.7984848022461, 0.09375, False]",0.0,-0.015069851875305176,0.0
"[200.69851875305176, 0.15625, False]",0.0,0.01,0.0
"[79.43055629730225, -0.09375, False]",0.0,-0.001405637264251709,0.0
"[64.05637264251709, 0.1875, False]",-0.0021338665485382082,0.0,0.0
"[71.33866548538208, -0.125, False]",0.0,-0.01,0.0
"[217.33616590499878, 0.0625, False]",-0.0035208141803741455,0.0,0.0
"[85.20814180374146, -0.0625, False]",0.0,0.0,-0.001796942949295044
"[67.96942949295044, -0.125, False]",0.0,-0.001412588357925415,0.0
"[64.12588357925415, 0.0625, False]",0.0,0.0,-0.02550589680671692
"[305.0589680671692, 0.0625, False]",0.0,0.00030964732170104983,0.0
"[46.9035267829895, 0.0, False]",0.0,0.0,0.00035462498664855956
"[46.453750133514404, 0.03125, False]",0.0,-0.01,0.0
"[121.23116254806519, -0.09375, False]",0.0,0.0,-0.0038941287994384765
"[88.94128799438477, -0.0625, False]",0.0,0.0,-0.015059220790863038
"[200.59220790863037, -0.03125, False]",0.0,0.0,-0.01628997325897217
"[212.89973258972168, -0.0625, False]",0.0,-0.014493728876113892,0.0
"[194.93728876113892, 0.15625, False]",0.0,0.01,0.0
"[111.04985475540161, 0.1875, False]",0.0,-0.0027950382232666015,0.0
"[77.95038223266602, 0.125, False]",0.0,-0.01,0.0
"[120.65463066101074, -0.125, False]",0.0,0.0,-0.0036663782596588136
"[86.66378259658813, -0.0625, False]",-0.00966476321220398,0.0,0.0
"[146.6476321220398, -0.03125, False]",0.0,-0.0007567322254180909,0.0
"[57.56732225418091, 0.15625, False]",0.0,0.0,0.0003439939022064209
"[46.56006097793579, 0.125, False]",0.0,0.0008027660846710205,0.0
"[41.972339153289795, 0.125, False]",0.0,-0.022476855516433716,0.0
"[274.76855516433716, -0.03125, False]",0.0,-0.01,0.0
"[112.92256116867065, 0.125, False]",-0.0034643876552581786,0.0,0.0
"[84.64387655258179, -0.0625, False]",0.0,0.0,-0.002083982229232788
"[70.83982229232788, 0.1875, False]",0.0,0.0,-0.0003601109981536865
"[53.601109981536865, 0.21875, False]",-0.01,0.0,0.0
"[106.63795471191406, -0.09375, False]",0.0,-0.0035343074798583987,0.0
"[85.34307479858398, 0.21875, False]",0.0,0.0,-0.0012298154830932618
"[62.29815483093262, 0.15625, False]",0.0,-0.00024112462997436524,0.0
"[52.41124629974365, 0.34375, False]",-0.01,0.0,0.0
"[18.95604133605957, 0.125, False]",-0.0046272647380828855,0.0,0.0
"[96.27264738082886, -0.03125, False]",0.0,-0.0019703114032745364,0.0
"[69.70311403274536, 0.1875, False]",-0.0020398223400115967,0.0,0.0
"[70.39822340011597, -0.03125, False]",-0.01,0.0,0.0
"[109.71688032150269, 0.125, False]",-0.0038724577426910403,0.0,0.0
"[88.7245774269104, -0.09375, False]",-0.0030677664279937745,0.0,0.0
"[80.67766427993774, 0.03125, False]",0.0,0.0,-0.0007747232913970948
"[57.74723291397095, 0.0, False]",0.00024994969367980957,0.0,0.0
"[47.500503063201904, -0.09375, False]",0.0,-0.01,0.0
"[18.326354026794434, 0.0, False]",0.0,0.0,-0.005437271595001221
"[104.3727159500122, 0.15625, False]",0.0,0.0,-0.01
"[112.14567422866821, -0.03125, False]",0.0,-0.004289932250976562,0.0
"[92.89932250976562, 0.25, False]",-0.00321455717086792,0.0,0.0
"[82.1455717086792, -0.09375, False]",0.0,-0.0017691385746002198,0.0
"[67.6913857460022, 0.125, False]",-0.0013046419620513917,0.0,0.0
"[63.046419620513916, 0.03125, False]",0.0,0.0,-0.01
"[69.09795999526978, 0.15625, False]",0.0,-0.00358828067779541,0.0
"[85.8828067779541, 0.125, False]",0.0,-0.002090933322906494,0.0
"[70.90933322906494, 0.0625, False]",0.0,-0.01,0.0
